timestamp,window,packages,predicted
1644155321.2732513,None,13349,0.0
1644155361.2765503,None,11157,1334.9
1644155414.0953026,None,14778,3500.8571428571427
1644155474.0488598,None,16856,6547.333333333333
1644155525.2312236,None,14482,9356.666666666666
1644155573.0824893,None,13502,11770.333333333334
1644155630.7955468,None,15289,14020.666666666666
1644155692.9136162,None,17685,14344.0
1644155738.2028704,None,12943,15432.0
1644155785.0670547,None,13468,15126.166666666666
1644155816.652041,None,9105,14561.5
1644155830.3952882,None,3941,13665.333333333334
1644155842.4380703,None,3465,12071.833333333334
1644155850.4226007,None,2266,10101.166666666666
1644155858.8446379,None,2413,7531.333333333333
1644155863.839502,None,1420,5776.333333333333
1644155866.6242476,None,791,3768.3333333333335
1644155870.8004303,None,1197,2382.6666666666665
1644155872.3745525,None,462,1925.3333333333333
1644155875.6749194,None,945,1424.8333333333333
1644155880.049521,None,1272,1204.6666666666667
1644155880.9883425,None,242,1014.5
1644155883.8256426,None,827,818.1666666666666
1644155885.448359,None,472,824.1666666666666
1644155887.8158615,None,647,703.3333333333334
1644155889.4950798,None,475,734.1666666666666
1644155891.1075985,None,437,655.8333333333334
1644155892.8244772,None,493,516.6666666666666
1644155892.9746668,None,44,558.5
1644155892.9784474,None,1,428.0
1644155892.9821184,None,1,349.5
1644155892.9854681,None,1,241.83333333333334
1644155892.988692,None,1,162.83333333333334
1644155892.9919736,None,1,9.6
1644155892.995549,None,1,1.0
1644155892.998839,None,1,1.0
1644155893.0024202,None,1,1.0
1644155893.0056689,None,1,1.0
1644155893.0089555,None,1,1.0
1644155893.0129871,None,1,1.0
1644155893.0164487,None,1,1.0
1644155893.0198114,None,1,1.0
1644155893.0235326,None,1,1.0
1644155893.0273728,None,1,1.0
1644155893.0307837,None,1,1.0
1644155893.0343394,None,1,1.0
1644155893.0376053,None,1,1.0
1644155893.040834,None,1,1.0
1644155893.0445902,None,1,1.0
1644155893.04788,None,1,1.0
1644155893.051102,None,1,1.0
1644155893.054412,None,1,1.0
1644155893.0577142,None,1,1.0
1644155893.061552,None,1,1.0
1644155893.0655296,None,1,1.0
1644155893.068867,None,1,1.0
1644155893.0721312,None,1,1.0
1644155893.0757902,None,1,1.0
1644155893.0793068,None,1,1.0
1644155893.082616,None,1,1.0
1644155893.0869734,None,1,1.0
1644155893.0902953,None,1,1.0
1644155893.0938702,None,1,1.0
1644155893.0972445,None,1,1.0
1644155893.1004894,None,1,1.0
1644155893.1037858,None,1,1.0
1644155893.1076021,None,1,1.0
1644155893.1114273,None,1,1.0
1644155893.1149473,None,1,1.0
1644155905.9409347,None,3691,1.0
1644155905.9442835,None,1,616.0
1644155905.9477723,None,1,616.0
1644155905.9515202,None,1,616.0
1644155905.9549649,None,1,616.0
1644155905.9583118,None,1,616.0
1644155905.9618278,None,1,616.0
1644155905.965526,None,1,1.0
1644155905.9688935,None,1,1.0
1644155905.9722643,None,1,1.0
1644155905.975578,None,1,1.0
1644155905.9788272,None,1,1.0
1644155905.9824994,None,1,1.0
1644155905.9858327,None,1,1.0
1644155905.9891763,None,1,1.0
1644155905.9927235,None,1,1.0
1644155905.9960594,None,1,1.0
1644155905.999983,None,1,1.0
1644155906.0036502,None,1,1.0
1644155906.0070407,None,1,1.0
1644155906.0102751,None,1,1.0
1644155906.0135767,None,1,1.0
1644155906.0172384,None,1,1.0
1644155906.0205696,None,1,1.0
1644155906.0241556,None,1,1.0
1644155906.027449,None,1,1.0
