timestamp,window,packages,predicted
1643075224.9987147,[0, 0, 0, 0, 0, 0, 0, 0, 0, 0],59,0.0
1643075225.2668169,[0, 0, 0, 0, 0, 0, 0, 0, 0, 59],53,16.119268687467073
1643075225.7462366,[0, 0, 0, 0, 0, 59, 53],39,34.31632500753349
1643075225.829899,[0, 0, 0, 59, 53, 39],16,41.78642936596218
1643075226.2683635,[0, 0, 59, 53, 39, 16],15,33.99777530589544
1643075226.7688248,[0, 59, 53, 39, 16, 15],25,25.29477196885428
1643075227.3365707,[59, 53, 39, 16, 15, 25],18,22.71968854282536
1643075227.6859224,[53, 39, 16, 15, 25, 18],20,20.196885428253616
1643075227.803876,[39, 16, 15, 25, 18, 20],17,19.872080088987765
1643075228.1973438,[16, 15, 25, 18, 20, 17],4,18.82981090100111
1643075228.3634586,[15, 25, 18, 20, 17, 4],7,13.271412680756395
1643075228.554819,[25, 18, 20, 17, 4, 7],13,9.869855394883203
1643075228.8138063,[18, 20, 17, 4, 7, 13],14,10.057842046718577
1643075229.174873,[20, 17, 4, 7, 13, 14],9,11.43047830923248
1643075229.9752436,[17, 4, 7, 13, 14, 9],20,10.979977753058954
1643075230.0032258,[4, 7, 13, 14, 9, 20],4,14.271412680756395
1643075230.4760256,[7, 13, 14, 9, 20, 4],13,11.124582869855393
1643075231.2687657,[13, 14, 9, 20, 4, 13],16,11.331479421579534
1643075231.468768,[14, 9, 20, 4, 13, 16],23,12.852057842046719
1643075232.0012765,[9, 20, 4, 13, 16, 23],21,16.815350389321466
1643075232.0708125,[20, 4, 13, 16, 23, 21],4,19.225806451612904
1643075232.3598177,[4, 13, 16, 23, 21, 4],20,14.411568409343715
1643075232.9553633,[13, 16, 23, 21, 4, 20],20,15.522803114571746
1643075233.0763872,[16, 23, 21, 4, 20, 20],9,16.97441601779755
1643075234.1449625,[23, 21, 4, 20, 20, 9],12,14.483870967741936
1643075234.2945745,[21, 4, 20, 20, 9, 12],17,13.28476084538376
1643075234.9767306,[4, 20, 20, 9, 12, 17],8,14.224694104560623
1643075235.4279244,[20, 20, 9, 12, 17, 8],9,12.07119021134594
1643075235.6806238,[20, 9, 12, 17, 8, 9],7,10.662958843159066
1643075236.7639396,[9, 12, 17, 8, 9, 7],18,8.979977753058954
1643075237.2402363,[12, 17, 8, 9, 7, 18],16,11.82647385984427
1643075237.6535277,[17, 8, 9, 7, 18, 16],30,13.836484983314794
1643075237.9587007,[8, 9, 7, 18, 16, 30],36,20.266963292547274
1643075238.2590451,[9, 7, 18, 16, 30, 36],16,27.273637374860954
1643075238.5760574,[7, 18, 16, 30, 36, 16],16,24.826473859844274
1643075238.9772072,[18, 16, 30, 36, 16, 16],6,21.417130144605117
1643075239.2076485,[16, 30, 36, 16, 16, 6],17,14.865406006674082
1643075239.5859804,[30, 36, 16, 16, 6, 17],8,14.102335928809788
1643075240.0480227,[36, 16, 16, 6, 17, 8],10,11.526140155728587
1643075240.414598,[16, 16, 6, 17, 8, 10],9,10.634037819799776
1643075240.5786488,[16, 6, 17, 8, 10, 9],8,9.839822024471635
1643075240.8117933,[6, 17, 8, 10, 9, 8],10,8.989988876529477
1643075240.8279717,[17, 8, 10, 9, 8, 10],5,9.171301446051167
1643075240.9417486,[8, 10, 9, 8, 10, 5],11,7.686318131256952
1643075241.213658,[10, 9, 8, 10, 5, 11],20,8.625139043381536
1643075241.3293102,[9, 8, 10, 5, 11, 20],11,12.830923248053393
1643075241.7660196,[8, 10, 5, 11, 20, 11],12,13.052280311457176
1643075242.2696517,[10, 5, 11, 20, 11, 12],12,12.956618464961068
1643075242.9214668,[5, 11, 20, 11, 12, 12],11,12.528364849833146
1643075243.39738,[11, 20, 11, 12, 12, 11],24,11.800889877641824
1643075243.7538533,[20, 11, 12, 12, 11, 24],24,16.035595105672968
1643075244.3603606,[11, 12, 12, 11, 24, 24],16,19.7230255839822
1643075244.796857,[12, 12, 11, 24, 24, 16],36,19.348164627363737
1643075244.9925232,[12, 11, 24, 24, 16, 36],17,25.421579532814235
1643075246.9707766,[11, 24, 24, 16, 36, 17],36,23.407119021134598
1643075247.5948968,[24, 24, 16, 36, 17, 36],25,27.824249165739708
1643075247.959823,[24, 16, 36, 17, 36, 25],12,27.4972191323693
1643075248.316388,[16, 36, 17, 36, 25, 12],42,22.03337041156841
1643075248.4954715,[36, 17, 36, 25, 12, 42],14,28.11790878754171
1643075248.6828218,[17, 36, 25, 12, 42, 14],22,23.86095661846496
1643075248.9303026,[36, 25, 12, 42, 14, 22],12,22.778642936596217
1643075249.5138285,[25, 12, 42, 14, 22, 12],6,18.479421579532815
1643075249.671432,[12, 42, 14, 22, 12, 6],6,13.04115684093437
1643075250.18176,[42, 14, 22, 12, 6, 6],9,9.270300333704116
1643075250.9462678,[14, 22, 12, 6, 6, 9],22,8.260289210233593
1643075251.333729,[22, 12, 6, 6, 9, 22],14,12.956618464961068
1643075251.800654,[12, 6, 6, 9, 22, 14],19,14.32258064516129
1643075251.9886682,[6, 6, 9, 22, 14, 19],17,16.591768631813125
1643075252.4267166,[6, 9, 22, 14, 19, 17],41,17.17241379310345
1643075252.6880338,[9, 22, 14, 19, 17, 41],13,25.872080088987765
1643075252.9561827,[22, 14, 19, 17, 41, 13],23,22.89432703003337
1643075253.8667874,[14, 19, 17, 41, 13, 23],14,22.816462736373747
1643075255.3384292,[19, 17, 41, 13, 23, 14],19,19.333704115684093
1643075255.6296551,[17, 41, 13, 23, 14, 19],10,18.42157953281424
1643075256.0784395,[41, 13, 23, 14, 19, 10],19,15.077864293659623
1643075256.6351666,[13, 23, 14, 19, 10, 19],50,15.896551724137932
1643075257.0328243,[23, 14, 19, 10, 19, 50],16,28.225806451612904
1643075257.470786,[14, 19, 10, 19, 50, 16],20,26.300333704115683
1643075257.9993246,[19, 10, 19, 50, 16, 20],22,24.36596218020022
1643075259.1617126,[10, 19, 50, 16, 20, 22],43,22.834260289210235
1643075259.7755897,[19, 50, 16, 20, 22, 43],24,29.484983314794217
1643075260.2687016,[50, 16, 20, 22, 43, 24],21,28.783092324805338
1643075260.4527903,[16, 20, 22, 43, 24, 21],18,26.344827586206897
1643075260.9719403,[20, 22, 43, 24, 21, 18],13,22.74972191323693
