timestamp,window,packages,predicted
1644771767.6374936,None,10,0.0
1644771767.6478875,None,23,1.0
1644771767.796712,None,544,4.125
1644771767.9217482,None,393,64.11111111111111
1644771768.1707392,None,906,107.77777777777777
1644771768.5692713,None,1195,170.54545454545453
1644771769.326143,None,2127,279.1818181818182
1644771769.8102388,None,1463,399.84615384615387
1644771770.1013908,None,1070,512.3846153846154
1644771770.1728144,None,266,594.6923076923077
1644771770.486286,None,1221,615.1538461538462
1644771770.5309262,None,147,709.0769230769231
1644771770.7804139,None,1014,720.3846153846154
1644771770.9907265,None,766,798.3846153846154
1644771771.1483269,None,445,856.5384615384615
1644771771.2381024,None,250,889.0
1644771771.3080132,None,180,866.3846153846154
1644771771.6851568,None,1403,850.0
1644771771.7119164,None,64,888.2307692307693
1644771771.7375062,None,59,801.2307692307693
1644771771.8446414,None,512,642.1538461538462
1644771772.0311117,None,664,569.0
1644771772.157121,None,436,537.7692307692307
1644771772.9978142,None,3698,550.8461538461538
1644771773.3564224,None,1321,741.3846153846154
1644771774.1366615,None,3707,831.6923076923077
1644771774.6723359,None,1502,1038.8461538461538
1644771774.8424377,None,600,1095.4615384615386
1644771775.7342732,None,4053,1107.3846153846155
1644771776.0695412,None,1310,1399.923076923077
1644771776.2267988,None,652,1486.8461538461538
1644771776.726767,None,2382,1429.076923076923
1644771776.7971985,None,261,1607.3846153846155
1644771777.2436004,None,1612,1622.923076923077
1644771777.7608762,None,1948,1707.5384615384614
1644771777.9488597,None,755,1806.3076923076924
1644771778.0500686,None,393,1830.8461538461538
1644771778.2142193,None,503,1576.6153846153845
1644771778.317894,None,338,1513.6923076923076
1644771778.6859157,None,1439,1254.5384615384614
1644771779.0058594,None,1549,1249.6923076923076
1644771779.9938934,None,4169,1322.6923076923076
1644771782.8132613,None,10728,1331.6153846153845
1644771785.6920722,None,11792,2056.076923076923
1644771786.9796588,None,5292,2913.0
1644771787.3630924,None,1504,3136.846153846154
1644771787.5659306,None,1020,3232.4615384615386
1644771787.8441865,None,1137,3186.923076923077
1644771788.1889062,None,1611,3124.5384615384614
1644771788.620452,None,1894,3190.3846153846152
1644771788.8739927,None,1222,3305.846153846154
1644771789.0327127,None,671,3361.153846153846
1644771789.1021788,None,311,3386.769230769231
1644771790.5391,None,5734,3300.0
1644771790.8694355,None,1233,3621.923076923077
1644771791.3708916,None,1303,3396.076923076923
1644771791.5906534,None,848,2671.076923076923
1644771791.8392222,None,961,1829.2307692307693
1644771792.0177557,None,776,1496.076923076923
1644771792.6099794,None,2310,1440.076923076923
1644771794.9684823,None,10799,1539.3076923076924
1644771796.3047078,None,6514,2282.5384615384614
1644771796.3845632,None,293,2659.6923076923076
1644771796.5417697,None,587,2536.5384615384614
1644771796.62562,None,357,2487.6923076923076
1644771797.4400249,None,3691,2463.5384615384614
1644771799.4046805,None,9484,2723.5384615384614
1644771801.4824488,None,10480,3012.0
1644771801.582143,None,378,3723.3076923076924
1644771801.7190404,None,567,3652.153846153846
1644771801.832129,None,476,3630.5384615384614
1644771802.541905,None,3447,3593.230769230769
1644771813.116122,None,53194,3798.6923076923076
1644771825.532361,None,61828,6890.2
1644771835.5078847,None,50685,10960.333333333334
1644771850.4653828,None,72141,14185.333333333334
1644771863.897155,None,67666,18274.8
1644771872.2339473,None,40189,22351.6
1644771881.0661893,None,41995,25011.333333333332
1644771895.8813426,None,73853,27771.866666666665
1644771909.4425287,None,66784,32671.6
1644771922.7185755,None,67663,36877.8
1644771935.893345,None,66609,40756.4
1644771948.9437444,None,65538,44498.333333333336
1644771961.4982402,None,63303,48842.333333333336
1644771974.8143225,None,66470,53024.73333333333
1644771988.5828986,None,68917,57424.333333333336
1644772002.384137,None,69466,61789.0
1644772015.7914526,None,66699,62873.8
1644772028.1907842,None,60419,63198.53333333333
1644772041.514936,None,66082,63847.46666666667
1644772054.2388391,None,64342,63443.53333333333
1644772068.1114554,None,70647,63221.933333333334
1644772080.5734487,None,62868,65252.46666666667
1644772094.5569215,None,69903,66644.0
1644772108.036292,None,68057,66380.66666666667
1644772122.1508203,None,71171,66465.53333333334
1644772136.449005,None,71714,66699.4
1644772149.8314185,None,67091,67039.73333333334
1644772162.6084578,None,64161,67143.26666666666
1644772176.2607126,None,68765,67200.46666666666
1644772183.8527331,None,35541,67353.46666666666
1644772192.1018374,None,39167,65128.4
1644772204.84696,None,63557,63108.46666666667
1644772205.216971,None,1632,62899.0
1644772205.8349106,None,2657,58979.86666666667
1644772207.5277584,None,7606,54751.53333333333
1644772207.8948233,None,1516,50969.13333333333
1644772208.1085987,None,1031,46360.4
1644772208.8441656,None,3458,42237.933333333334
1644772209.0445251,None,867,37808.26666666667
1644772209.278141,None,798,33328.933333333334
1644772211.1783164,None,8964,28637.4
1644772213.9499874,None,12618,24454.066666666666
1644772216.6809373,None,11632,20822.533333333333
1644772218.9337933,None,9252,17320.6
1644772219.7521937,None,3352,13353.066666666668
1644772220.1951208,None,1981,11207.133333333333
1644772221.02887,None,3718,8728.066666666668
1644772221.3829684,None,1689,4960.714285714285
1644772221.6860242,None,1448,4891.571428571428
1644772223.0648758,None,4976,4451.714285714285
1644772223.6918201,None,2501,4698.857142857143
1644772224.5246031,None,3827,4803.857142857143
1644772234.5775466,None,51673,4830.214285714285
1644772236.2737427,None,7896,7281.470588235294
1644772237.0802362,None,3113,7685.294117647059
1644772238.9506273,None,9164,7665.0
1644772244.61981,None,27340,8153.058823529412
1644772262.6116202,None,89270,9714.35294117647
1644772284.8461864,None,110232,14438.235294117647
1644772296.1689265,None,56026,20180.235294117647
1644772297.158942,None,4391,22791.647058823528
1644772301.3546035,None,19100,22505.70588235294
