timestamp,window,packages,predicted
1644777527.2034597,None,10,0.0
1644777527.2089124,None,23,1.5384615384615385
1644777527.3582108,None,544,5.7727272727272725
1644777527.4731767,None,393,95.37037037037037
1644777527.719683,None,906,150.1851851851852
1644777528.1091254,None,1195,247.35064935064935
1644777528.8373673,None,2127,393.7012987012987
1644777529.3026397,None,1463,586.8942307692307
1644777529.5878425,None,1070,719.7884615384615
1644777529.6587677,None,266,789.4903846153846
1644777529.975191,None,1221,748.4038461538462
1644777530.0203528,None,147,824.1346153846154
1644777530.2703104,None,1014,753.875
1644777530.4786305,None,766,790.5769230769231
1644777530.5951269,None,445,786.5288461538462
1644777530.6833189,None,250,735.0865384615385
1644777530.756203,None,180,655.2115384615385
1644777531.0831957,None,1403,569.4134615384615
1644777531.1099553,None,64,638.5384615384615
1644777531.1362686,None,59,535.5096153846154
1644777531.2448676,None,512,442.7307692307692
1644777531.4284108,None,664,426.46153846153845
1644777531.5538995,None,436,438.33653846153845
1644777532.4040446,None,3698,425.61538461538464
1644777532.7576902,None,1321,819.0096153846154
1644777533.5434527,None,3707,891.4615384615385
1644777534.0726821,None,1502,1250.875
1644777534.2433052,None,600,1308.7692307692307
1644777535.3331766,None,4053,1246.8365384615386
1644777535.6627166,None,1310,1615.0384615384614
1644777535.8189216,None,652,1603.798076923077
1644777536.3198452,None,2382,1499.4423076923076
1644777536.389422,None,261,1618.5576923076924
1644777536.8308358,None,1612,1450.2596153846155
1644777537.3248518,None,1948,1448.8942307692307
1644777537.511971,None,755,1478.951923076923
1644777537.6126587,None,393,1347.5384615384614
1644777537.773372,None,503,1167.8076923076924
1644777537.8774984,None,338,1033.6057692307693
1644777538.2445645,None,1439,886.6442307692307
1644777538.5634906,None,1549,909.7019230769231
1644777539.5530114,None,4169,947.1153846153846
1644777542.3226764,None,10728,1302.9038461538462
1644777545.179659,None,11792,2477.451923076923
1644777546.466259,None,5292,3694.4423076923076
1644777546.8486977,None,1504,3991.8173076923076
1644777547.053052,None,1020,3787.7115384615386
1644777547.3333988,None,1137,3511.153846153846
1644777547.6771278,None,1611,3254.9134615384614
1644777548.1106381,None,1894,3065.721153846154
1644777548.3616164,None,1222,2903.673076923077
1644777548.5188143,None,671,2643.1923076923076
1644777548.5875854,None,311,2306.923076923077
1644777550.0364015,None,5734,1922.451923076923
1644777550.3637123,None,1233,2226.701923076923
1644777550.863672,None,1303,1928.0865384615386
